video t (ms),A002C001_140325E3,20140325_121238,Take5_Nexus5,20140325_121245,20140325_131253,IMG_0367,VID_20140325_131247,VID_20140325_131249
537.843174,0,0.4,0,0,1,0,0.2,0
538.341096,0,0.4,0,0,1,0,0.2,0
538.840947,0,0.4,0,0,1,0,0,0
539.340974,0,0.4,0,0,1,0,0,0
539.841703,0,0.4,0,0,1,0,0,0
540.341483,0,0.4,0,0,1,0,0,0
540.842264,0,0.4,0,0,1,0,0,0
541.342133,0,0.4,0,0,1,0,0,0
541.841121,0,0.4,0,0,1,1,0,0
542.341795,0,0.8,0,0,1,1,0,0
542.841338,0,0.8,0,0,1,1,0,0
543.341493,0,0.8,0,0,1,1,0,0
543.840669,0,0.8,0,0,1,1,0.6,0
544.341598,0,0.8,0,0,1,1,0.6,0
544.841248,0,0.8,0,0,1,1,0.6,0
545.342115,0,0.8,0,0,1,1,0.6,0
545.84069,0,0.8,0,0,1,0.4,0.2,0
546.352425,0,0.8,0,0,1,0.4,0.2,0
546.841292,0,0.8,0,0,1,0.4,0.2,0
547.341937,0,0.8,0,0,1,0.4,0.2,0
547.84147,0,0.8,0,0,1,1,0.2,0
548.341516,0,0.8,0,0,1,1,0.2,0
548.841121,0,0.8,0,0,1,1,0.2,0
549.351378,0,0.8,0,0,1,1,0.2,0
549.840961,0,0.8,0,0,1,1,0.2,0
550.340725,0,0.8,0,0.4,1,1,0.2,0
550.841549,0,0.8,0,0.4,1,1,0.2,0
551.3417,0,0.8,0,0.4,1,1,0.2,0
552.127717,0,0.8,0,0.8,1,1,0.2,0
552.432881,0,0.2,0,0.8,1,1,0.2,0
552.721636,0,0.2,0,0.8,1,1,0.2,0
553.220218,0,0.2,0,0.8,1,1,0.2,0
553.72057,0,0.2,0,0.8,1,1,0.2,0
554.22099,0,0.2,0,0.8,1,1,0.2,0
554.720866,0,0.2,0,0.8,1,1,0.2,0
555.220853,0,0.2,0,0.8,1,1,0.2,0
555.72098,0,0.2,0,0.8,1,1,0.2,0
556.221564,0,0.2,0,0.8,1,1,0.2,0
556.720923,0,0.2,0,0.8,1,1,0.2,0
557.220415,0,0.2,0,0.8,1,1,0.2,0
557.721445,0,0.2,0,0.8,1,1,0.2,0
558.22047,0,0.2,0,1,1,1,0.2,0
558.720386,0,0.2,0,1,1,1,0.2,0
559.220221,0,0.2,0,1,1,1,0.2,0
559.721665,0,0.4,0,1,1,1,0.2,0
560.220721,0,0.4,0,1,1,1,0.2,0
560.720864,0,0.4,0,1,1,1,0.2,0
561.220558,0,0.4,0,1,1,1,0.8,0
561.722028,0,0.4,0,1,1,1,0.8,0
